trace,fixture,config,waste,h,issued,useful,useful_miss,share_issued,share_useful_miss,total_issued,total_useful_miss,scored_misses
awkhash,coarse,coarse/best-ev-w0.05,0.050,1,48720,34466,344,0.175548,0.274541,277531,1253,56090
awkhash,coarse,coarse/best-ev-w0.05,0.050,2,47465,30623,279,0.171026,0.222666,277531,1253,56090
awkhash,coarse,coarse/best-ev-w0.05,0.050,4,46850,27767,323,0.168810,0.257781,277531,1253,56090
awkhash,coarse,coarse/best-ev-w0.05,0.050,8,45577,27735,139,0.164223,0.110934,277531,1253,56090
awkhash,coarse,coarse/best-ev-w0.05,0.050,16,44834,26701,154,0.161546,0.122905,277531,1253,56090
awkhash,coarse,coarse/best-ev-w0.05,0.050,32,44085,28054,14,0.158847,0.011173,277531,1253,56090
awkhash,coarse,coarse/best-ev-w0.25,0.250,1,20340,14156,328,0.182572,0.316602,111408,1036,56090
awkhash,coarse,coarse/best-ev-w0.25,0.250,2,19302,12358,205,0.173255,0.197876,111408,1036,56090
awkhash,coarse,coarse/best-ev-w0.25,0.250,4,18789,11002,216,0.168650,0.208494,111408,1036,56090
awkhash,coarse,coarse/best-ev-w0.25,0.250,8,18123,10772,128,0.162672,0.123552,111408,1036,56090
awkhash,coarse,coarse/best-ev-w0.25,0.250,16,17686,10318,144,0.158750,0.138996,111408,1036,56090
awkhash,coarse,coarse/best-ev-w0.25,0.250,32,17168,10866,15,0.154100,0.014479,111408,1036,56090
awkhash,coarse,coarse/uniform-random-w0.01,0.010,1,86798,62470,137,0.166834,0.182423,520266,751,56090
awkhash,coarse,coarse/uniform-random-w0.01,0.010,2,86629,57640,131,0.166509,0.174434,520266,751,56090
awkhash,coarse,coarse/uniform-random-w0.01,0.010,4,85025,51940,172,0.163426,0.229028,520266,751,56090
awkhash,coarse,coarse/uniform-random-w0.01,0.010,8,86024,54075,127,0.165346,0.169108,520266,751,56090
awkhash,coarse,coarse/uniform-random-w0.01,0.010,16,87184,53421,138,0.167576,0.183755,520266,751,56090
awkhash,coarse,coarse/uniform-random-w0.01,0.010,32,88606,58155,46,0.170309,0.061252,520266,751,56090
awkhash,coarse,coarse/uniform-random-w0.02,0.020,1,69545,49861,134,0.167022,0.186111,416382,720,56090
awkhash,coarse,coarse/uniform-random-w0.02,0.020,2,69290,45621,122,0.166410,0.169444,416382,720,56090
