trace,fixture,config,waste,data_refs,gate_lookups,gate_admits,admit_rate,selector_lookups,selector_updates,pooled_updates,selector_lookups_per_ref,inserts,evictions,action_rate,strict_cov,strict_net_per_1k,ns_per_ref
awkhash,coarse,coarse/conditional-w0.05,0.050,4287416,4287416,935673,0.218237,5614038,5614013,25724433,1.3094,126692,0,0.021043,0.018684,-0.731,220.26
awkhash,coarse,coarse/cond-random-w0.05,0.050,4287416,4287416,929986,0.216911,929986,5579893,25724433,0.2169,126692,0,0.021034,0.009146,-0.895,212.84
awkhash,coarse,coarse/pooled-w0.05,0.050,4287416,4287416,935402,0.218174,0,0,25724433,0.0000,36080,0,0.027514,0.080603,0.008,175.77
awkhash,coarse,coarse/best-ev-w0.05,0.050,4287416,0,0,0.000000,0,0,0,0.0000,216480,0,0.080914,0.022339,-3.662,297.92
awkhash,h32,h32/conditional-w0.05,0.050,4287416,4287416,943770,0.220126,30200640,30200385,137196784,7.0440,525616,0,0.021270,0.026261,-0.613,680.47
awkhash,h32,h32/cond-random-w0.05,0.050,4287416,4287416,937856,0.218746,937856,30011162,137196784,0.2187,525616,0,0.020737,0.007292,-0.912,566.76
awkhash,h32,h32/pooled-w0.05,0.050,4287416,4287416,1013212,0.236322,0,0,137196784,0.0000,36080,0,0.021726,0.010982,-0.898,363.99
awkhash,h32,h32/best-ev-w0.05,0.050,4287416,0,0,0.000000,0,0,0,0.0000,1154422,144,0.213595,0.042485,-9.950,1476.91
awkhash,coarse,coarse/conditional-w0.25,0.250,4287416,4287416,871323,0.203228,5227938,5227938,25724433,1.2194,126692,0,0.007171,0.013817,-1.510,218.85
awkhash,coarse,coarse/cond-random-w0.25,0.250,4287416,4287416,871385,0.203242,871385,5228310,25724433,0.2032,126692,0,0.007103,0.006543,-1.642,206.04
awkhash,coarse,coarse/pooled-w0.25,0.250,4287416,4287416,862745,0.201227,0,0,25724433,0.0000,36080,0,0.009745,0.026600,-1.892,174.36
awkhash,coarse,coarse/best-ev-w0.25,0.250,4287416,0,0,0.000000,0,0,0,0.0000,216480,0,0.032481,0.018470,-7.743,294.44
awkhash,h32,h32/conditional-w0.25,0.250,4287416,4287416,871589,0.203290,27890848,27890848,137196784,6.5053,525616,0,0.007177,0.013639,-1.515,645.09
awkhash,h32,h32/cond-random-w0.25,0.250,4287416,4287416,874043,0.203862,874043,27969376,137196784,0.2039,525616,0,0.007039,0.005491,-1.648,541.73
awkhash,h32,h32/pooled-w0.25,0.250,4287416,4287416,893040,0.208293,0,0,137196784,0.0000,36080,0,0.008252,0.004172,-1.978,360.02
awkhash,h32,h32/best-ev-w0.25,0.250,4287416,0,0,0.000000,0,0,0,0.0000,1154422,144,0.102789,0.025762,-25.171,1435.13
awkhash,coarse,coarse/conditional-w1.00,1.000,4287416,4287416,849760,0.198199,5098560,5098560,25724433,1.1892,126692,0,0.001942,0.004261,-1.803,209.38
awkhash,coarse,coarse/cond-random-w1.00,1.000,4287416,4287416,850387,0.198345,850387,5102322,25724433,0.1983,126692,0,0.001926,0.002460,-1.845,196.22
awkhash,coarse,coarse/pooled-w1.00,1.000,4287416,4287416,834875,0.194727,0,0,25724433,0.0000,36080,0,0.002850,0.009556,-2.538,171.18
awkhash,coarse,coarse/best-ev-w1.00,1.000,4287416,0,0,0.000000,0,0,0,0.0000,216480,0,0.010490,0.013140,-10.060,286.81
awkhash,h32,h32/conditional-w1.00,1.000,4287416,4287416,850372,0.198341,27211904,27211904,137196784,6.3469,525616,0,0.001945,0.004421,-1.800,635.24
awkhash,h32,h32/cond-random-w1.00,1.000,4287416,4287416,851421,0.198586,851421,27245472,137196784,0.1986,525616,0,0.001926,0.002211,-1.854,546.09
awkhash,h32,h32/pooled-w1.00,1.000,4287416,4287416,844442,0.196958,0,0,137196784,0.0000,36080,0,0.002597,0.003191,-2.493,361.08
awkhash,h32,h32/best-ev-w1.00,1.000,4287416,0,0,0.000000,0,0,0,0.0000,1154422,144,0.039533,0.015636,-39.021,1446.03
awkhash,coarse,coarse/conditional-w4.00,4.000,4287416,4287416,849617,0.198165,5097702,5097702,25724433,1.1890,126692,0,0.001908,0.003209,-7.370,211.02
awkhash,coarse,coarse/cond-random-w4.00,4.000,4287416,4287416,850250,0.198313,850250,5101500,25724433,0.1983,126692,0,0.001896,0.001391,-7.469,200.22
awkhash,coarse,coarse/pooled-w4.00,4.000,4287416,4287416,834457,0.194629,0,0,25724433,0.0000,36080,0,0.002774,0.006721,-10.548,173.23
awkhash,coarse,coarse/best-ev-w4.00,4.000,4287416,0,0,0.000000,0,0,0,0.0000,216480,0,0.010416,0.009574,-40.880,287.11
awkhash,h32,h32/conditional-w4.00,4.000,4287416,4287416,850221,0.198306,27207072,27207072,137196784,6.3458,525616,0,0.001908,0.003209,-7.372,622.56
