phase,trace,config,context,learner,window,waste,eval_begin,eval_end,accuracy,coverage,net_per_1k,strict_acc,strict_cov,strict_net_per_1k,mean_lead_data,mean_lead_total,issued,useful,useful_miss,scored_refs,scored_misses,action_rate,self_issued,self_useful,dedup_suppressed,state_bytes,table_bytes,update_ops,ns_per_ref,inserts,evictions,unresolved
base,gcc,bitty-w0.05,bitty-4x8-ternary,counts-eu,32,0.050,0.2000,1.0000,0.892900,0.709613,705.358,0.003919,0.298593,-36.466,1.382,5.5,2518569,2248830,9870,3169092,33055,0.794729,1264825,1221751,131799,137,457179136,385236352,109.76,174934,0,2
base,gcc,explicit4-w0.05,explicit-4,counts-eu,32,0.050,0.2000,1.0000,0.820964,0.670439,663.129,0.003518,0.275420,-37.816,2.323,8.7,2588034,2124684,9104,3169092,33055,0.816648,1582969,1419418,240029,41,457179136,0,42.26,62894,0,2
base,gcc,next-line-w0.05,-,next-line,32,0.050,0.2000,1.0000,0.292498,0.094184,82.793,0.015254,0.470912,-10.942,9.168,34.5,1020440,298477,15566,3169092,33055,0.321998,0,0,2148652,0,0,0,11.79,0,0,8
base,gcc,last-stride-w0.05,-,last-stride,32,0.050,0.2000,1.0000,0.195503,0.079161,62.874,0.005531,0.214733,-17.894,7.460,31.0,1283200,250870,7098,3169092,33055,0.404911,0,0,285633,16,0,0,12.43,0,0,11
base,gcc,bitty-w0.10,bitty-4x8-ternary,counts-eu,32,0.100,0.2000,1.0000,0.906418,0.708438,701.124,0.003975,0.297837,-74.741,1.375,5.4,2476900,2245106,9845,3169092,33055,0.781580,1261156,1218971,118184,137,457179136,385236352,110.43,174934,0,1
base,gcc,explicit4-w0.10,explicit-4,counts-eu,32,0.100,0.2000,1.0000,0.830754,0.669736,656.092,0.003541,0.273726,-77.477,2.310,8.6,2554853,2122455,9048,3169092,33055,0.806178,1580302,1417095,226322,41,457179136,0,42.16,62894,0,2
base,gcc,next-line-w0.10,-,next-line,32,0.100,0.2000,1.0000,0.292498,0.094184,71.402,0.015254,0.470912,-26.797,9.168,34.5,1020440,298477,15566,3169092,33055,0.321998,0,0,2148652,0,0,0,11.93,0,0,8
base,gcc,last-stride-w0.10,-,last-stride,32,0.100,0.2000,1.0000,0.195503,0.079161,46.587,0.005531,0.214733,-38.027,7.460,31.0,1283200,250870,7098,3169092,33055,0.404911,0,0,285633,16,0,0,12.30,0,0,11
base,gcc,bitty-w0.25,bitty-4x8-ternary,counts-eu,32,0.250,0.2000,1.0000,0.925329,0.702767,688.589,0.004029,0.293360,-186.045,1.350,5.3,2406855,2227133,9697,3169092,33055,0.759478,1245465,1205938,100959,137,457179136,385236352,111.65,174934,0,1
base,gcc,explicit4-w0.25,explicit-4,counts-eu,32,0.250,0.2000,1.0000,0.849228,0.665593,636.051,0.003577,0.268794,-192.436,2.290,8.5,2483814,2109325,8885,3169092,33055,0.783762,1575985,1413933,208528,41,457179136,0,42.86,62894,0,2
base,gcc,next-line-w0.25,-,next-line,32,0.250,0.2000,1.0000,0.292498,0.094184,37.230,0.015254,0.470912,-74.360,9.168,34.5,1020440,298477,15566,3169092,33055,0.321998,0,0,2148652,0,0,0,11.67,0,0,8
base,gcc,last-stride-w0.25,-,last-stride,32,0.250,0.2000,1.0000,0.195503,0.079161,-2.276,0.005531,0.214733,-98.428,7.460,31.0,1283200,250870,7098,3169092,33055,0.404911,0,0,285633,16,0,0,12.32,0,0,11
base,gcc,bitty-w0.50,bitty-4x8-ternary,counts-eu,32,0.500,0.2000,1.0000,0.933586,0.701162,676.222,0.004038,0.290788,-370.972,1.346,5.2,2380122,2222048,9612,3169092,33055,0.751042,1244148,1204797,92452,137,457179136,385236352,111.58,174934,0,1
base,gcc,explicit4-w0.50,explicit-4,counts-eu,32,0.500,0.2000,1.0000,0.863124,0.656238,604.204,0.003596,0.262139,-376.052,2.286,8.5,2409481,2079680,8665,3169092,33055,0.760306,1554169,1397162,178506,41,457179136,0,41.30,62894,0,2
base,gcc,next-line-w0.50,-,next-line,32,0.500,0.2000,1.0000,0.292498,0.094184,-19.723,0.015254,0.470912,-153.631,9.168,34.5,1020440,298477,15566,3169092,33055,0.321998,0,0,2148652,0,0,0,11.77,0,0,8
base,gcc,last-stride-w0.50,-,last-stride,32,0.500,0.2000,1.0000,0.195503,0.079161,-83.713,0.005531,0.214733,-199.096,7.460,31.0,1283200,250870,7098,3169092,33055,0.404911,0,0,285633,16,0,0,12.42,0,0,11
base,gcc,bitty-w1.00,bitty-4x8-ternary,counts-eu,32,1.000,0.2000,1.0000,0.951950,0.678116,643.888,0.004055,0.276902,-706.567,1.307,5.1,2257483,2149011,9153,3169092,33055,0.712344,1217747,1180556,67023,137,457179136,385236352,110.66,174934,0,1
base,gcc,explicit4-w1.00,explicit-4,counts-eu,32,1.000,0.2000,1.0000,0.895272,0.563081,497.213,0.002948,0.177734,-625.242,2.118,7.9,1993199,1784456,5875,3169092,33055,0.628950,1349537,1247157,90264,41,457179136,0,39.27,62894,0,2
base,gcc,next-line-w1.00,-,next-line,32,1.000,0.2000,1.0000,0.292498,0.094184,-133.630,0.015254,0.470912,-312.174,9.168,34.5,1020440,298477,15566,3169092,33055,0.321998,0,0,2148652,0,0,0,12.16,0,0,8
base,gcc,last-stride-w1.00,-,last-stride,32,1.000,0.2000,1.0000,0.195503,0.079161,-246.588,0.005531,0.214733,-400.431,7.460,31.0,1283200,250870,7098,3169092,33055,0.404911,0,0,285633,16,0,0,12.46,0,0,11
base,gcc,bitty-w2.00,bitty-4x8-ternary,counts-eu,32,2.000,0.2000,1.0000,0.974993,0.633545,601.046,0.003401,0.211889,-1292.957,1.154,4.5,2059256,2007761,7004,3169092,33055,0.649794,1121649,1099595,21530,137,457179136,385236352,109.57,174934,0,1
base,gcc,explicit4-w2.00,explicit-4,counts-eu,32,2.000,0.2000,1.0000,0.952800,0.457399,412.081,0.001979,0.091060,-957.266,1.625,6.0,1521347,1449539,3010,3169092,33055,0.480058,1019087,966802,26172,41,457179136,0,38.10,62894,0,2
base,gcc,next-line-w2.00,-,next-line,32,2.000,0.2000,1.0000,0.292498,0.094184,-361.444,0.015254,0.470912,-629.260,9.168,34.5,1020440,298477,15566,3169092,33055,0.321998,0,0,2148652,0,0,0,11.91,0,0,8
base,gcc,last-stride-w2.00,-,last-stride,32,2.000,0.2000,1.0000,0.195503,0.079161,-572.337,0.005531,0.214733,-803.103,7.460,31.0,1283200,250870,7098,3169092,33055,0.404911,0,0,285633,16,0,0,12.21,0,0,11
A-split,gcc,split-warmup-0.10,bitty-4x8-ternary,counts-eu,32,0.250,0.1000,1.0000,0.922749,0.691406,676.935,0.004111,0.281821,-183.472,1.380,5.4,2671389,2465021,10982,3565228,38968,0.749290,1396537,1350589,120826,137,457179136,385236352,114.40,174934,0,1
A-split,gcc,split-warmup-0.10-explicit4,explicit-4,counts-eu,32,0.250,0.1000,1.0000,0.848962,0.662368,632.907,0.003890,0.277664,-191.259,2.280,8.5,2781622,2361492,10820,3565228,38968,0.780209,1774781,1597383,234127,41,457179136,0,43.62,62894,0,2
A-split,gcc,split-warmup-0.20,bitty-4x8-ternary,counts-eu,32,0.250,0.2000,1.0000,0.925329,0.702767,688.589,0.004029,0.293360,-186.045,1.350,5.3,2406855,2227133,9697,3169092,33055,0.759478,1245465,1205938,100959,137,457179136,385236352,113.74,174934,0,1
A-split,gcc,split-warmup-0.20-explicit4,explicit-4,counts-eu,32,0.250,0.2000,1.0000,0.849228,0.665593,636.051,0.003577,0.268794,-192.436,2.290,8.5,2483814,2109325,8885,3169092,33055,0.783762,1575985,1413933,208528,41,457179136,0,41.43,62894,0,2
A-split,gcc,split-warmup-0.35,bitty-4x8-ternary,counts-eu,32,0.250,0.3500,1.0000,0.925022,0.716760,702.235,0.004361,0.308579,-189.490,1.366,5.0,1995168,1845575,8701,2574887,28197,0.774857,1047349,1019378,71632,137,457179136,385236352,108.47,174934,0,1
A-split,gcc,split-warmup-0.35-explicit4,explicit-4,counts-eu,32,0.250,0.3500,1.0000,0.838078,0.669345,637.014,0.003701,0.269958,-195.971,2.423,8.6,2056475,1723487,7612,2574887,28197,0.798666,1341202,1195642,144719,41,457179136,0,40.34,62894,0,2
A-split,gcc,split-warmup-0.50,bitty-4x8-ternary,counts-eu,32,0.250,0.5000,1.0000,0.928148,0.753531,738.948,0.004380,0.331810,-198.522,1.311,4.4,1608047,1492506,7043,1980682,21226,0.811865,842954,821532,46480,137,457179136,385236352,106.54,174934,0,1
A-split,gcc,split-warmup-0.50-explicit4,explicit-4,counts-eu,32,0.250,0.5000,1.0000,0.833534,0.678840,644.948,0.003536,0.268727,-200.003,2.481,8.4,1613091,1344567,5704,1980682,21226,0.814412,1060882,940102,87961,41,457179136,0,37.89,62894,0,2
A-roll,gcc,roll-0.20-0.30,bitty-4x8-ternary,counts-eu,32,0.250,0.2000,0.3000,0.929100,0.575965,564.977,0.004044,0.215729,-151.846,1.221,6.1,245572,228161,993,396137,4603,0.619917,122441,116279,19222,137,457179136,385236352,97.86,174934,0,0
A-roll,gcc,roll-0.20-0.30-explicit4,explicit-4,counts-eu,32,0.250,0.2000,0.3000,0.905239,0.622123,605.842,0.004658,0.275473,-167.811,1.643,7.6,272244,246446,1268,396137,4603,0.687247,151960,141304,40757,41,457179136,0,31.50,62894,0,0
A-roll,gcc,roll-0.30-0.40,bitty-4x8-ternary,counts-eu,32,0.250,0.3000,0.4000,0.927297,0.685835,672.392,0.001382,0.191580,-183.624,1.313,8.3,292985,271684,405,396136,2114,0.739607,117889,111614,24166,137,457179136,385236352,96.97,174934,0,0
A-roll,gcc,roll-0.30-0.40-explicit4,explicit-4,counts-eu,32,0.250,0.3000,0.4000,0.888005,0.652912,632.326,0.002094,0.288553,-181.890,1.729,9.7,291262,258642,610,396136,2114,0.735258,140762,131462,61349,41,457179136,0,30.79,62894,0,0
A-roll,gcc,roll-0.40-0.50,bitty-4x8-ternary,counts-eu,32,0.250,0.4000,0.5000,0.902129,0.592676,576.602,0.004826,0.245696,-160.280,1.765,6.2,260252,234781,1256,396137,5112,0.656975,162181,156512,11090,137,457179136,385236352,97.95,174934,0,0
A-roll,gcc,roll-0.40-0.50-explicit4,explicit-4,counts-eu,32,0.250,0.4000,0.5000,0.845224,0.655500,625.492,0.004241,0.254890,-189.772,2.474,8.7,307218,259668,1303,396137,5112,0.775535,222381,201063,18460,41,457179136,0,31.41,62894,0,0
A-roll,gcc,roll-0.50-0.60,bitty-4x8-ternary,counts-eu,32,0.250,0.5000,0.6000,0.921965,0.737065,721.469,0.004121,0.311233,-195.745,1.325,4.5,316691,291978,1305,396136,4193,0.799450,162809,158904,8840,137,457179136,385236352,97.62,174934,0,0
