trace,n,miss_rate,h,recur,miss_lift,top1_mass,top1_delta,top1_miss,top1nz_mass,top1nz_delta,top1nz_miss,missdelta_top1,missdelta_delta
gcc,3169092,0.01043043,1,0.40476452,4.868054,0.40476452,0,0.00000000,0.05232603,1,0.33876872,0.33433170,1
gcc,3169092,0.01043043,2,0.28551224,17.790628,0.28551224,0,0.00000000,0.07508591,1,0.30476479,0.17834992,2
gcc,3169092,0.01043043,3,0.22916673,5.306977,0.22916673,0,0.00000000,0.07689905,1,0.16911209,0.10459276,3
gcc,3169092,0.01043043,4,0.18474211,15.162791,0.18474211,0,0.00000000,0.08026915,1,0.12911814,0.05188950,4
gcc,3169092,0.01043043,5,0.14665860,3.990208,0.14665860,0,0.00000000,0.08281373,1,0.06649524,0.04741301,5
gcc,3169092,0.01043043,6,0.14451990,15.191293,0.14451990,0,0.00000000,0.07705439,1,0.02553320,0.04478199,6
gcc,3169092,0.01043043,7,0.10944985,3.693793,0.10944985,0,0.00000000,0.07255467,1,0.03043412,0.04081941,7
gcc,3169092,0.01043043,8,0.13907867,10.351740,0.13907867,0,0.00000000,0.07043297,1,0.02650129,0.03909583,8
gcc,3169092,0.01043043,9,0.12167806,3.499983,0.12167806,0,0.00000000,0.06640215,1,0.02008773,0.03682745,-9
gcc,3169092,0.01043043,10,0.11484146,9.582200,0.11484146,0,0.00000000,0.06131618,1,0.02123733,0.04212438,4
gcc,3169092,0.01043043,11,0.09791795,3.733695,0.09791795,0,0.00000000,0.05694078,1,0.01700197,0.03682968,-11
gcc,3169092,0.01043043,12,0.11571750,8.955167,0.11571750,0,0.00000000,0.05633054,1,0.01809106,0.03677027,-12
gcc,3169092,0.01043043,13,0.08629760,3.163665,0.08629760,0,0.00000000,0.05858861,1,0.01343216,0.03658979,-13
gcc,3169092,0.01043043,14,0.09102080,9.582200,0.09102080,0,0.00000000,0.06028694,1,0.01361367,0.03665143,-14
gcc,3169092,0.01043043,15,0.09862364,3.061060,0.09862364,0,0.00000000,0.06317042,1,0.01325064,0.03677361,-15
gcc,3169092,0.01043043,16,0.11960521,9.736108,0.11960521,0,0.00000000,0.05892822,1,0.01948268,0.03659312,-16
gcc,3169092,0.01043043,17,0.08860248,3.004057,0.08860248,0,0.00000000,0.04942324,1,0.01022538,0.03656396,-17
gcc,3169092,0.01043043,18,0.11725192,8.795559,0.11725192,0,0.00000000,0.05227268,1,0.01155650,0.03659533,-18
gcc,3169092,0.01043043,19,0.08474337,3.482882,0.08474337,0,0.00000000,0.05132414,1,0.01070942,0.03638455,-19
gcc,3169092,0.01043043,20,0.10345615,9.000770,0.10345615,0,0.00000000,0.04766064,1,0.01325064,0.03632511,-20
gcc,3169092,0.01043043,21,0.09904414,2.696241,0.09904414,0,0.00000000,0.04808663,1,0.00962033,0.03635648,-21
gcc,3169092,0.01043043,22,0.09393734,8.920965,0.09393734,0,0.00000000,0.04712550,1,0.00992286,0.03650895,-22
gcc,3169092,0.01043043,23,0.09195821,2.998356,0.09195821,0,0.00000000,0.05693784,1,0.00931780,0.03651005,-23
gcc,3169092,0.01043043,24,0.14160693,9.034971,0.14160693,0,0.00000000,0.05332356,1,0.01597338,0.03623868,-24
